file,pages,total_chars,avg_chars_per_page,low_text_pages,multicolumn,pdf_title,created
01_KYC_Master_Direction_2016.pdf,107,239021,2233.8,0,True,,D:20250814220706
02_Digital_Lending_Directions_2025.pdf,24,43875,1828.1,0,True,,D:20250509125649
03_NBFC_Scale_Based_Regulation_2023.pdf,330,615663,1865.6,3,True,,D:20250922123047
04_Credit_Debit_Card_Directions_2022.pdf,7,13998,1999.7,0,True,,D:20240307175943
05_Microfinance_Loans_Framework_2022.pdf,6,11848,1974.7,0,True,,D:20250131160412
06_Interest_Rate_on_Advances_2016.pdf,20,32298,1614.9,0,True,,D:20251001214433
07_Priority_Sector_Lending_Directions.pdf,52,93512,1798.3,0,False,,D:20260119210259
08_Fraud_Risk_Management_Directions_2024.pdf,20,43724,2186.2,0,True,,D:20240715161925
09_Customer_Service_Master_Circular.pdf,141,278835,1977.6,0,False,MASTER CIRCULAR ON CUSTOMER SERVICE,D:20140715192912
10_Outsourcing_Financial_Services_Directions.pdf,13,31502,2423.2,0,True,,D:20171109163740
